show_id,title,type,director_name
s7525,Mujhse Shaadi Karogi,Movie,David Dhawan
s7626,Numbered,Movie,Dana Doron
s7670,Open Season,Movie,Jill Culton
s8042,Slow West,Movie,John Maclean
s8382,The Lamb,Movie,Timothy Reckart
s8557,The Wedding Party 2: Destination Dubai,Movie,Niyi Akinmolayan
s8626,Tremors 5:  Bloodline,Movie,Don Michael Paul
s8630,Trimurti,Movie,Mukul Anand
s8710,Weather forecast,Movie,Antoni Krauze
s24,Go! Go! Cory Carson: Chrissy Takes the Wheel,Movie,Stanley Moore
s277,Valeria,TV Show,Inma Torrente
s492,Home Again,Movie,Hallie Meyers-Shyer
s519,Har Kisse Ke Hisse: Kaamyaab,Movie,Hardik Mehta
s552,Haseen Dillruba,Movie,Vinil Mathew
s633,Wanted,Movie,Nibal Arakji
s862,Little Singham Future mein Satakli,Movie,Prakash Satam
s955,The Yeti Adventures,Movie,Pierre Greco
s1776,His House,Movie,Remi Weekes
s1883,Dolly Parton: Here I Am,Movie,Francis Whately
s2232,The Millions,Movie,Toka McBaror
s3065,Luccas Neto in: Children's Day,Movie,Lucas Margutti
s3304,Luccas Neto in: Summer Camp,Movie,Lucas Margutti
s3363,Arsenio Hall: Smart & Classy,Movie,Brian Volk-Weiss
s3787,We Are Legends,Movie,Daniel Yee Heng Chan
s4906,The Price of Success,Movie,Teddy Lussi-Modeste
s4999,Gad Elmaleh: American Dream,Movie,Michael Simon
s5508,The Next Skin,Movie,Isaki Lacuesta
s5905,Chris Tucker Live,Movie,Phil Joanou
s5912,Jen Kirkman: I'm Gonna Die Alone (And I Feel Fine),Movie,Lance Bangs
s6136,American Beauty,Movie,Sam Mendes
s6255,Bawarchi,Movie,Hrishikesh Mukherjee
s6621,Dog Eat Dog,Movie,Paul Schrader
s6779,For Greater Glory,Movie,Dean Wright
s6802,French Dirty,Movie,Jesse Allain-Marcus
s6864,God's Own Country,Movie,Francis Lee
s6973,Hiroshima: The Real History,Movie,Lucy van Beek
s7378,Magic Snowflake,Movie,Luc Vinciguerra
s7582,Next,Movie,Lee Tamahori
s8135,Susanne Bartsch: On Top,Movie,Anthony Caronna
s8170,Terrifier,Movie,Damien Leone
s8227,The Break-Up,Movie,Peyton Reed
s8274,The Desert Bride,Movie,Valeria Pivato
s8507,The Sign of Venus,Movie,Dino Risi
s8517,The Spy Who Fell to Earth,Movie,Thomas Meadmore
s8592,Time Please,Movie,Sameer Vidwans
s8692,Wakefield,Movie,Robin Swicord
s8771,Yaadein,Movie,Subhash Ghai
s8774,Yanda Kartavya Aahe,Movie,Kedar Shinde
s78,Little Singham - Black Shadow,Movie,Prakash Satam
s137,Cold Mountain,Movie,Anthony Minghella
s556,Snowpiercer,Movie,Bong Joon Ho
s815,The Four Seasons,Movie,Alan Alda
s1306,Awara Paagal Deewana,Movie,Vikram Bhatt
s1375,Accomplice,Movie,Jeremy Grant
s1399,Death of Me,Movie,Darren Lynn Bousman
s2264,PNL - Dans la légende tour,Movie,QLF
s2499,Mutiny of the Worker Bees,Movie,Carlos Morett
